# AveragePeopleAtBusStops,AverageWaitTime
5.175000,33.571539
5.150000,33.810025
5.150000,34.146922
5.075000,33.699957
5.100000,34.060788
5.050000,34.090579
5.100000,34.331940
5.075000,34.405136
5.000000,33.490372
5.000000,33.322062
5.000000,33.021345
5.075000,32.841912
5.075000,32.649385
5.075000,32.420989
5.075000,32.160960
5.100000,32.344168
5.150000,32.650332
5.150000,32.956495
5.150000,32.983765
5.225000,33.199584
5.300000,33.357364
5.375000,33.559460
5.400000,33.785452
5.425000,34.028191
5.450000,34.231776
5.500000,34.440194
5.575000,34.710161
5.600000,34.985510
5.625000,35.180642
5.700000,35.547667
5.725000,35.786662
5.775000,35.992835
5.825000,36.285938
5.850000,36.570930
5.875000,36.830203
5.900000,37.126435
5.925000,37.464230
5.925000,37.759509
5.950000,38.014931
6.000000,38.355951
6.000000,38.641208
5.950000,38.334494
5.975000,38.677546
5.925000,38.644738
5.950000,39.119263
5.950000,39.491645
5.900000,39.570917
5.875000,39.228942
5.800000,39.226463
5.825000,39.488962
5.825000,39.772222
5.850000,40.017109
5.825000,40.191779
5.825000,40.445506
5.750000,39.698056
5.750000,39.697347
5.700000,39.855234
5.675000,40.256820
5.725000,40.701435
5.750000,41.036926
5.800000,41.296134
5.875000,41.677758
5.925000,41.832841
6.000000,42.051480
6.075000,42.351053
6.100000,42.567316
6.125000,43.095995
6.100000,42.396657
6.075000,42.142285
6.100000,42.149576
6.050000,42.222484
5.975000,40.207838
5.875000,39.205208
5.900000,38.348386
5.875000,37.674885
5.825000,37.676219
5.750000,36.955425
5.775000,37.043778
5.600000,34.941206
5.500000,34.267870
5.325000,33.093439
5.300000,33.079658
5.300000,33.067216
5.350000,33.463922
5.325000,33.299295
5.400000,33.653127
5.375000,33.830872
5.450000,34.095771
5.475000,34.375174
5.500000,34.645864
5.525000,34.835104
5.575000,35.109923
5.450000,34.336619
5.425000,34.458956
5.400000,34.501573
5.425000,34.697272
5.400000,34.799931
5.425000,35.010224
5.325000,33.969847
5.325000,33.486935
5.275000,33.214673
5.200000,33.105694
5.175000,33.404410
5.125000,33.438643
5.175000,33.611686
5.250000,33.740235
5.325000,33.930247
5.375000,34.070559
5.425000,34.336071
5.450000,34.564341
5.500000,34.782756
5.550000,35.099253
5.550000,35.415752
5.550000,35.699784
5.575000,35.937914
5.625000,36.258082
5.625000,36.578249
5.625000,36.851728
5.650000,37.124244
5.625000,37.300457
5.575000,36.688688
5.500000,35.990025
5.450000,35.712513
5.525000,36.252350
5.550000,35.315496
5.550000,35.207692
5.525000,34.927921
5.475000,34.747423
5.400000,34.553291
5.425000,34.263505
5.525000,34.117244
5.500000,33.250517
5.450000,32.825245
5.400000,32.513585
5.375000,32.449678
5.400000,32.751450
5.400000,32.948941
5.475000,33.308634
5.500000,33.545213
5.550000,33.708369
5.600000,33.785092
5.600000,33.575867
5.675000,33.845985
5.675000,34.203123
5.675000,34.536994
5.700000,34.910034
5.700000,35.168450
5.675000,34.365284
5.675000,34.828363
5.625000,34.495609
5.700000,34.746442
5.600000,32.990649
5.500000,32.937733
5.375000,32.767760
5.350000,33.188918
5.300000,33.183340
5.275000,33.374749
5.250000,33.510377
5.250000,33.609948
5.300000,33.851539
5.300000,34.257410
5.300000,34.556628
5.325000,34.942738
5.350000,35.245494
5.350000,35.548251
5.350000,35.863136
5.400000,36.032592
5.400000,35.303970
5.400000,35.177194
5.350000,34.365369
5.400000,34.279173
5.350000,34.416206
5.300000,33.964879
5.225000,34.009115
5.150000,32.716454
5.150000,32.133068
5.125000,31.845336
5.100000,31.490939
5.100000,31.178229
5.075000,30.894154
5.050000,30.640985
5.050000,30.405313
5.025000,30.186303
5.000000,30.070493
5.050000,30.302351
5.075000,30.730336
4.975000,30.051756
4.925000,30.080849
4.900000,30.105428
4.925000,30.137366
4.775000,29.279564
4.800000,29.142299
4.750000,29.232597
4.700000,29.459789
4.700000,29.558013
4.700000,29.700965
4.775000,29.934593
4.800000,30.215327
4.800000,30.323156
4.900000,30.404688
4.975000,30.693302
5.000000,30.893900
5.050000,31.211383
5.025000,30.454451
4.975000,30.344600
4.975000,30.594867
5.000000,30.902822
5.025000,31.157063
5.050000,31.657442
4.975000,30.939144
4.975000,30.803881
4.975000,30.659583
5.025000,30.625701
5.025000,30.680305
5.000000,30.635664
5.050000,30.608378
