# Step,AveragePeopleAtBusStops,AverageWaitTime
597.000000,21.000000,115.745098
598.000000,21.000000,116.307190
599.000000,21.000000,116.488599
600.000000,21.125000,117.052117
601.000000,21.125000,117.615635
602.000000,21.125000,118.179153
603.000000,21.125000,118.742671
604.000000,21.125000,118.918831
605.000000,21.250000,119.097087
606.000000,21.375000,119.663430
607.000000,21.375000,119.841935
608.000000,21.500000,120.022508
609.000000,21.625000,120.205128
610.000000,21.750000,120.775641
611.000000,21.750000,121.346154
612.000000,21.750000,121.916667
613.000000,21.750000,122.095847
614.000000,21.875000,122.667732
615.000000,21.875000,122.847134
616.000000,22.000000,123.420382
617.000000,21.625000,119.993631
618.000000,21.750000,117.608280
619.000000,21.875000,118.453674
620.000000,21.750000,116.527157
621.000000,21.750000,117.836013
622.000000,21.500000,115.990354
623.000000,21.500000,116.169872
624.000000,21.500000,116.721154
625.000000,21.500000,117.272436
626.000000,21.500000,117.447284
627.000000,21.625000,117.624204
628.000000,21.750000,118.178344
629.000000,21.750000,118.355556
630.000000,21.875000,118.534810
631.000000,22.000000,118.716088
632.000000,22.000000,119.271293
633.000000,22.000000,119.449686
634.000000,22.000000,119.626959
635.000000,22.125000,119.806250
636.000000,22.250000,120.739812
637.000000,22.125000,117.548287
638.000000,22.125000,117.006250
639.000000,22.000000,116.131250
640.000000,22.000000,115.350000
641.000000,22.000000,114.962382
642.000000,21.875000,114.235110
643.000000,21.875000,113.889937
644.000000,21.375000,112.418239
645.000000,21.125000,111.197492
646.000000,21.250000,112.441640
647.000000,21.125000,113.316456
648.000000,21.125000,114.582803
649.000000,21.125000,115.865385
650.000000,21.125000,117.164516
651.000000,21.125000,117.716129
652.000000,21.125000,117.887460
653.000000,21.125000,118.437299
654.000000,21.125000,118.987138
655.000000,21.125000,119.153846
656.000000,21.250000,119.322684
657.000000,21.375000,119.493631
658.000000,21.500000,120.047771
659.000000,21.500000,120.601911
660.000000,21.500000,121.156051
661.000000,21.500000,121.710191
662.000000,21.500000,122.264331
663.000000,21.500000,122.428571
664.000000,21.625000,122.594937
665.000000,21.750000,123.151899
666.000000,21.750000,123.318612
667.000000,21.750000,123.873817
668.000000,21.750000,124.037736
669.000000,21.750000,124.594340
670.000000,21.750000,124.758621
671.000000,21.875000,124.925000
672.000000,22.000000,125.093458
673.000000,22.000000,125.260870
674.000000,22.125000,125.819876
675.000000,22.125000,126.378882
676.000000,22.125000,126.937888
677.000000,22.125000,127.102167
678.000000,22.250000,127.268519
679.000000,22.250000,127.830247
680.000000,22.250000,127.996923
681.000000,22.375000,129.757764
682.000000,22.125000,128.764706
683.000000,22.125000,128.373457
684.000000,22.250000,128.391975
685.000000,22.250000,128.885449
686.000000,22.125000,129.388199
687.000000,22.000000,129.975078
688.000000,21.875000,129.785714
689.000000,21.875000,129.540123
690.000000,22.125000,130.101852
691.000000,22.125000,129.861963
692.000000,22.250000,130.423313
693.000000,22.250000,130.984663
694.000000,22.250000,131.143731
695.000000,22.250000,131.304878
696.000000,22.375000,131.868902
697.000000,22.375000,132.432927
698.000000,22.375000,132.592705
699.000000,22.500000,133.158055
700.000000,22.500000,133.723404
701.000000,22.500000,134.288754
702.000000,22.500000,134.854103
703.000000,22.500000,134.195783
704.000000,22.625000,134.357357
705.000000,22.750000,134.523952
706.000000,22.875000,135.089820
707.000000,22.875000,136.891239
708.000000,22.625000,135.789790
709.000000,22.750000,135.978979
710.000000,22.625000,136.192192
711.000000,22.625000,136.819277
712.000000,22.500000,136.290419
713.000000,22.750000,137.015015
714.000000,22.625000,137.336336
715.000000,22.625000,136.853731
716.000000,22.750000,137.426866
717.000000,22.875000,137.997015
718.000000,22.875000,138.157738
719.000000,23.000000,137.911243
720.000000,23.250000,138.079646
721.000000,23.250000,138.657817
722.000000,23.250000,138.826471
723.000000,23.000000,138.785294
724.000000,22.750000,139.138235
725.000000,22.500000,138.836257
726.000000,22.375000,139.383041
727.000000,22.375000,139.938596
728.000000,22.375000,140.494152
729.000000,22.375000,141.049708
730.000000,22.375000,141.605263
731.000000,22.375000,142.160819
732.000000,22.375000,142.716374
733.000000,22.000000,142.421053
734.000000,21.750000,143.958702
735.000000,21.250000,140.864307
736.000000,21.375000,139.624260
737.000000,21.500000,139.223214
738.000000,21.500000,139.249249
739.000000,21.500000,138.990937
740.000000,21.500000,138.671733
741.000000,21.500000,137.568389
742.000000,21.500000,136.847561
743.000000,21.500000,135.826220
744.000000,21.500000,135.143731
745.000000,21.375000,134.385321
746.000000,21.250000,133.228659
747.000000,21.375000,133.759146
748.000000,21.375000,134.691131
749.000000,21.250000,131.493902
750.000000,21.375000,130.405488
751.000000,21.375000,129.730887
752.000000,21.250000,129.073620
753.000000,21.125000,128.458462
754.000000,21.000000,127.824074
755.000000,20.875000,126.882716
756.000000,20.875000,125.944444
757.000000,20.875000,126.568750
758.000000,20.500000,125.431250
759.000000,20.500000,126.745283
760.000000,20.500000,127.671924
761.000000,20.500000,128.198738
762.000000,20.500000,128.725552
763.000000,20.625000,130.076190
764.000000,20.625000,130.609524
765.000000,20.625000,130.727848
766.000000,20.750000,130.848580
767.000000,20.875000,131.384858
768.000000,20.875000,131.094044
769.000000,21.125000,131.633229
770.000000,21.125000,132.172414
771.000000,21.125000,132.711599
772.000000,21.125000,132.834375
773.000000,21.250000,133.375000
774.000000,21.250000,133.083851
775.000000,21.375000,133.627329
776.000000,21.000000,133.245342
777.000000,20.750000,132.956656
778.000000,20.875000,134.317757
779.000000,20.875000,136.552050
780.000000,20.625000,133.870662
781.000000,20.500000,133.215190
782.000000,20.375000,133.418530
783.000000,20.000000,129.483974
784.000000,20.125000,128.418006
785.000000,20.000000,127.360129
786.000000,20.000000,127.467949
787.000000,20.125000,127.581470
788.000000,20.250000,128.105431
789.000000,20.250000,127.408228
790.000000,20.375000,127.526814
791.000000,20.375000,128.056782
792.000000,20.375000,128.182390
793.000000,20.500000,127.510903
794.000000,20.750000,127.636646
795.000000,20.875000,127.770898
796.000000,20.875000,128.306502
797.000000,20.875000,128.444444
798.000000,21.000000,128.584615
799.000000,21.000000,128.726994
800.000000,21.125000,129.266871
801.000000,21.125000,129.409786
802.000000,21.250000,129.554878
803.000000,21.375000,129.702128
804.000000,21.500000,129.851515
805.000000,21.625000,130.396970
806.000000,21.625000,130.942424
807.000000,21.625000,131.090634
808.000000,21.625000,131.637462
809.000000,21.625000,132.184290
810.000000,21.625000,132.731118
811.000000,21.625000,132.876506
812.000000,21.750000,133.424699
813.000000,21.750000,133.972892
814.000000,21.750000,134.117117
815.000000,21.750000,133.862687
816.000000,21.750000,134.008929
817.000000,21.375000,130.047619
818.000000,21.500000,126.766272
819.000000,21.500000,124.135693
820.000000,21.500000,122.041298
821.000000,21.250000,120.023599
822.000000,20.625000,114.058997
823.000000,20.250000,111.079882
824.000000,19.875000,108.002959
825.000000,19.750000,108.101190
826.000000,19.500000,105.181548
827.000000,19.500000,104.997015
828.000000,19.250000,103.226866
829.000000,19.250000,103.716418
830.000000,19.250000,102.851190
831.000000,19.375000,104.273273
832.000000,19.125000,104.336336
833.000000,19.000000,104.687688
834.000000,19.000000,105.373494
835.000000,18.875000,106.081571
836.000000,18.875000,107.215805
837.000000,18.875000,108.033537
838.000000,19.000000,108.859327
839.000000,19.000000,109.354740
840.000000,19.000000,109.850153
841.000000,18.750000,111.495356
842.000000,18.500000,109.249221
843.000000,18.625000,107.803738
844.000000,18.750000,107.638365
845.000000,18.750000,107.482540
