# Step,PedestrianCount,AveragePeopleAtBusStops,AverageWaitTime
281.000000,155.000000,12.250000,83.174194
282.000000,156.000000,12.000000,81.006410
283.000000,155.000000,12.000000,81.096774
284.000000,156.000000,11.875000,80.205128
285.000000,157.000000,11.750000,79.515924
286.000000,157.000000,11.875000,79.401274
287.000000,156.000000,11.875000,79.897436
288.000000,155.000000,11.750000,80.503226
289.000000,155.000000,11.625000,80.600000
290.000000,156.000000,11.625000,80.679487
291.000000,157.000000,11.750000,80.764331
292.000000,158.000000,11.875000,80.854430
293.000000,159.000000,12.000000,80.949686
294.000000,159.000000,12.125000,81.559748
295.000000,160.000000,12.125000,81.656250
296.000000,160.000000,12.250000,82.268750
297.000000,161.000000,12.250000,82.366460
298.000000,161.000000,12.375000,82.981366
299.000000,163.000000,12.375000,82.570552
300.000000,164.000000,12.500000,82.676829
301.000000,165.000000,12.625000,82.787879
302.000000,166.000000,12.750000,82.903614
303.000000,167.000000,12.875000,83.023952
304.000000,168.000000,13.000000,83.148810
305.000000,168.000000,13.125000,83.773810
306.000000,171.000000,13.125000,82.918129
307.000000,171.000000,13.125000,81.029240
308.000000,172.000000,12.875000,79.959302
309.000000,174.000000,12.750000,78.758621
310.000000,174.000000,12.750000,78.752874
311.000000,175.000000,12.500000,78.491429
312.000000,177.000000,12.500000,78.056497
313.000000,178.000000,12.625000,78.185393
314.000000,178.000000,12.750000,78.758427
315.000000,178.000000,12.750000,79.331461
316.000000,179.000000,12.750000,79.458101
317.000000,179.000000,12.875000,80.033520
318.000000,179.000000,12.875000,80.608939
319.000000,180.000000,12.875000,80.733333
320.000000,180.000000,13.000000,81.311111
321.000000,183.000000,13.000000,80.546448
322.000000,185.000000,13.375000,80.254054
323.000000,185.000000,13.500000,80.837838
324.000000,185.000000,13.500000,81.421622
325.000000,185.000000,13.500000,82.005405
326.000000,185.000000,13.500000,82.589189
327.000000,185.000000,13.500000,83.172973
328.000000,185.000000,13.500000,83.756757
329.000000,185.000000,13.500000,84.340541
330.000000,185.000000,13.500000,84.924324
331.000000,186.000000,13.500000,85.048387
332.000000,187.000000,13.625000,85.176471
333.000000,190.000000,13.750000,84.410526
334.000000,190.000000,13.875000,84.994737
335.000000,192.000000,13.875000,84.687500
336.000000,192.000000,14.125000,85.276042
337.000000,194.000000,14.125000,84.979381
338.000000,194.000000,14.375000,85.572165
339.000000,196.000000,14.375000,85.285714
340.000000,196.000000,14.500000,85.877551
341.000000,197.000000,14.500000,86.030457
342.000000,198.000000,14.500000,86.181818
343.000000,198.000000,14.625000,86.772727
344.000000,199.000000,14.625000,86.924623
345.000000,200.000000,14.750000,87.080000
346.000000,201.000000,14.875000,87.238806
347.000000,201.000000,14.875000,87.830846
348.000000,201.000000,14.875000,88.422886
349.000000,204.000000,14.875000,87.705882
350.000000,202.000000,15.125000,89.173267
351.000000,203.000000,14.875000,85.901478
352.000000,203.000000,14.875000,84.866995
353.000000,203.000000,14.875000,83.916256
354.000000,203.000000,14.875000,83.044335
355.000000,206.000000,14.875000,82.412621
356.000000,207.000000,15.250000,82.603865
357.000000,207.000000,15.375000,83.198068
358.000000,207.000000,15.375000,83.792271
359.000000,207.000000,15.375000,84.386473
360.000000,209.000000,15.375000,84.167464
361.000000,209.000000,15.625000,84.765550
362.000000,210.000000,15.625000,84.957143
363.000000,210.000000,15.750000,85.557143
364.000000,211.000000,15.750000,85.748815
365.000000,211.000000,15.875000,86.350711
366.000000,211.000000,15.875000,86.952607
367.000000,211.000000,15.875000,87.554502
368.000000,211.000000,15.875000,88.156398
369.000000,211.000000,15.875000,88.758294
370.000000,211.000000,15.875000,89.360190
371.000000,214.000000,15.875000,88.700935
372.000000,214.000000,16.250000,89.308411
373.000000,216.000000,16.250000,89.083333
374.000000,217.000000,16.500000,89.281106
375.000000,217.000000,16.625000,89.894009
376.000000,217.000000,16.625000,90.506912
377.000000,218.000000,16.625000,90.701835
378.000000,218.000000,16.375000,89.362385
379.000000,219.000000,16.125000,88.821918
380.000000,217.000000,16.000000,89.640553
381.000000,219.000000,15.625000,85.630137
382.000000,216.000000,15.750000,85.740741
383.000000,215.000000,15.375000,84.934884
384.000000,212.000000,15.250000,85.438679
385.000000,210.000000,15.125000,85.661905
386.000000,209.000000,15.000000,86.023923
387.000000,211.000000,14.875000,85.364929
388.000000,211.000000,15.125000,85.872038
389.000000,210.000000,15.125000,86.790476
390.000000,212.000000,15.000000,86.490566
391.000000,213.000000,15.125000,86.652582
392.000000,213.000000,15.125000,87.220657
393.000000,215.000000,15.125000,86.972093
394.000000,215.000000,15.375000,87.544186
395.000000,216.000000,15.375000,87.708333
396.000000,216.000000,15.500000,88.282407
397.000000,216.000000,15.500000,88.856481
398.000000,216.000000,15.500000,89.430556
399.000000,216.000000,15.500000,90.004630
400.000000,217.000000,15.500000,90.161290
401.000000,217.000000,15.625000,90.737327
402.000000,220.000000,15.625000,90.068182
403.000000,220.000000,16.000000,90.650000
404.000000,221.000000,16.000000,90.819005
405.000000,221.000000,16.125000,91.402715
406.000000,221.000000,16.125000,91.986425
407.000000,221.000000,16.125000,92.570136
408.000000,221.000000,16.125000,93.153846
409.000000,221.000000,16.125000,93.737557
410.000000,223.000000,16.125000,93.475336
411.000000,223.000000,16.375000,94.062780
412.000000,224.000000,16.375000,94.227679
413.000000,224.000000,16.500000,94.816964
414.000000,224.000000,16.500000,95.406250
415.000000,225.000000,16.500000,95.568889
416.000000,225.000000,16.250000,92.888889
417.000000,224.000000,16.250000,93.883929
418.000000,224.000000,16.125000,92.625000
419.000000,223.000000,15.750000,92.116592
420.000000,223.000000,15.375000,90.161435
421.000000,221.000000,15.125000,90.701357
422.000000,221.000000,14.625000,89.185520
423.000000,220.000000,14.375000,89.922727
424.000000,220.000000,14.250000,89.295455
425.000000,222.000000,14.250000,89.004505
426.000000,222.000000,14.500000,89.527027
427.000000,222.000000,14.500000,90.049550
428.000000,224.000000,14.500000,89.763393
429.000000,224.000000,14.750000,90.290179
430.000000,225.000000,14.750000,90.413333
431.000000,226.000000,14.875000,90.539823
432.000000,227.000000,15.000000,90.669604
433.000000,229.000000,15.125000,90.406114
434.000000,232.000000,15.250000,89.762931
435.000000,229.000000,15.625000,91.489083
436.000000,230.000000,15.500000,87.969565
437.000000,229.000000,15.500000,87.100437
438.000000,229.000000,15.375000,85.855895
439.000000,229.000000,15.250000,84.685590
440.000000,229.000000,15.250000,83.515284
441.000000,229.000000,15.125000,82.930131
442.000000,230.000000,15.125000,82.000000
443.000000,230.000000,15.250000,82.530435
444.000000,231.000000,15.250000,82.701299
445.000000,231.000000,15.375000,83.233766
446.000000,232.000000,15.375000,83.405172
447.000000,232.000000,15.500000,83.939655
448.000000,235.000000,15.500000,83.395745
449.000000,236.000000,15.875000,83.580508
450.000000,237.000000,16.000000,83.767932
451.000000,239.000000,16.000000,83.602510
